trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.73525968204412,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-91.17295596232705,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-10.208459219352703,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-92.66310300820032,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-64.2701515872162,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-95.89070580108967,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-21.59084757675355,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-110.56166498228531,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,16,-92.15199035510705,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-27.616123529939184,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-122.75640628811192,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-81.87819043594469,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,0.7669646888530913,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-64.77614537109305,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,7.16037850285898,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,2.8224250224752327,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-64.16799841513357,"{0: 29, 1: 0, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-23.19826598994819,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,-12.205868449475133,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,0.4117563234589272,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,8,36.542794082760665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,21.253250912463926,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-18.595744813207368,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-73.18612040703033,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,11,15.956987629285955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,-86.76459049645094,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-59.17303905593843,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,18.113109890066248,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-65.29412875484617,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-61.07005021720269,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
