trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.247493589510549}",20,9,-5.278512903938436,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.2470771240399257}",20,0,-113.74347928095352,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.2459769656370248}",20,0,-188.23259750868672,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.244540621846259}",30,0,-98.22303462413093,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.2426504290375482}",20,2,-170.11036239321595,"{0: 7, 1: 2, 2: 5, 3: 2, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.241516802093032}",25,0,-81.85838400786594,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.2398025184290147}",25,12,-24.870095461340476,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.2388722033708286}",30,0,-23.444741616072623,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.2365351812969263}",25,0,-164.62767744335153,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.2344908282676443}",20,0,-47.34928058637988,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.2327629700373368}",25,0,-100.81150147673212,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.2304350319569082}",20,0,-75.28194097995343,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.2284504691661704}",25,0,-57.71028411891931,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.2254864097971832}",20,0,-65.05834190734139,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.2232749621822299}",20,0,-94.7723201475196,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.2209119646125335}",25,0,-154.52261255837527,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.2179924312424815}",25,0,-168.41423265405032,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.21485899269231}",25,0,-144.8892054997443,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.2116078773887797}",20,0,-46.742485792857146,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.208970005457503}",20,0,-127.71629259803225,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1.2061439880345723}",20,0,-26.574034209907758,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 1.2031945224576368}",30,0,-214.74171174383088,"{0: 16, 1: 5, 2: 3, 3: 3, 4: 3}",0
23,False,"{'a': 0.5, 'e': 1.198710008106242}",25,0,-207.52518611554513,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
24,False,"{'a': 0.5, 'e': 1.1948063201642252}",25,0,-157.8349807142044,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 1.1907964442661159}",25,0,-159.63564565004503,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 1.1866356145094223}",30,4,-115.0577028321687,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 1.1820517201211065}",30,0,-159.2100705658523,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 1.176685078004667}",20,0,-88.95588158875152,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 1.1730662109240964}",20,0,-95.48634778080674,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 1.1693240236726656}",25,0,-75.64816542031144,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 1.1645025534552502}",20,0,-86.86250474324301,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 1.1605844712838627}",20,0,-122.98955016430196,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 1.1565175495541722}",25,0,-200.2420378339042,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 1.1514625420260898}",25,0,-62.22199886827476,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 1.1462557803039921}",20,0,-73.0562752905552,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 1.1419387751777856}",20,0,-96.07241617677799,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 1.137655172315224}",30,0,-140.30667558880077,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1.1311522555140554}",20,0,-92.60089544167242,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 1.1263574811679085}",20,0,-179.0232271261608,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
40,False,"{'a': 0.5, 'e': 1.1217156677138742}",20,0,-59.934958739442834,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 1.1168788329267023}",30,0,-102.6205785266573,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 1.1094839825456415}",25,0,-168.39004808081384,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 1.10342190156394}",20,0,-53.968710974250826,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 1.0984465984171408}",20,0,-80.31761689309035,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 1.0932978876532613}",20,0,-104.41359162241596,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 1.0882929710823306}",25,0,-142.48835895455653,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 1}",0
47,False,"{'a': 0.5, 'e': 1.0819404316455323}",35,0,-124.56123273608478,"{0: 22, 1: 1, 2: 10, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 1.0727036253804623}",25,0,-77.32689998225102,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 1.06603296202865}",20,0,-102.62816837623517,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 1.060699222935249}",25,0,-111.88495715488203,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 1.0538043622695388}",20,0,-117.40150396537162,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 1.0482231425360553}",25,0,-168.40583929237806,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
53,False,"{'a': 0.5, 'e': 1.0412318499161994}",20,0,-164.49475227850047,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 1.035546335032657}",25,0,-104.29555325219566,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 1.0283617657566637}",25,0,-172.54737277515298,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
56,False,"{'a': 0.5, 'e': 1.0211853429933324}",20,0,-117.62505056162375,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 1.0153288413279604}",20,0,-119.53546908706372,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 0}",0
58,False,"{'a': 0.5, 'e': 1.0094639658698177}",20,0,-39.346510079520115,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0033903557199622}",25,0,-125.41385844841135,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9959132760422292}",25,0,-132.95396028476583,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9880771952261332}",30,0,-82.9139157699088,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9788498762857203}",20,0,-75.78400883949463,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9727113490529102}",25,0,-172.91418738549126,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9648435935983053}",20,0,-66.2152578314849,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9585518898717809}",20,0,-100.74561176812037,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9522473872068167}",20,0,-119.7821578640681,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9458903995449465}",30,5,-124.4236138801917,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.9379261441145947}",20,0,-110.74839169877876,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9315283400176484}",20,0,-60.082522736327235,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9250258641617157}",35,17,-160.379223319988,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 3}",1
71,False,"{'a': 0.5, 'e': 0.9190260274523607}",25,4,-153.00691391480336,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 3}",1
72,False,"{'a': 0.5, 'e': 0.9120718080795278}",25,0,-68.74913169248074,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9038126626077231}",25,0,-251.1968210383673,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 5}",1
74,False,"{'a': 0.5, 'e': 0.8953681670199777}",25,0,-194.619725018744,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
75,False,"{'a': 0.5, 'e': 0.8870752881491214}",20,0,-108.02322544865942,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.8803544019798565}",20,0,-73.87708706365083,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.8734191944074955}",20,0,-145.60271752891774,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
78,False,"{'a': 0.5, 'e': 0.8658312488186336}",20,0,-122.91796073431757,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.8565009422494521}",20,0,-94.18533519530331,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.8468863697721798}",20,0,-194.96615854757033,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.8390259323576883}",35,0,-86.96218083481129,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.8232288125252939}",30,15,-68.5215917368087,"{0: 9, 1: 1, 2: 2, 3: 3, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.8170158717880954}",25,7,-86.8802646313939,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.8095613902906401}",30,0,-127.57217704053046,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.7967348434861735}",20,0,-155.52897995760748,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.788220841282943}",35,0,-99.95638024992118,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.7754321834441448}",20,0,-65.70679958791665,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.7670948307633504}",25,0,-101.26762239517271,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.7568129525202199}",25,0,-31.392601913354536,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.7476131716615485}",25,0,-100.7994873576841,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.7388140959409876}",20,1,-26.89085901670619,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.732341834995241}",20,0,-24.583670227526813,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.7253331795652121}",20,0,-95.59878841969692,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.7183742883831432}",20,0,-161.19026374190665,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
95,False,"{'a': 0.5, 'e': 0.7114614242811418}",30,0,-85.47622796362143,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.6979277556584438}",20,0,-77.70281278460395,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.6897797133733087}",30,10,-73.44510213600188,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.6828714816147446}",25,0,-119.05932174960068,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.6744535978960604}",20,0,-113.74918797074963,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.6674281678039632}",20,12,-63.54359290996442,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.6646827014868154}",20,0,-112.97577950531866,"{0: 11, 1: 2, 2: 2, 3: 5, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.6577300633585818}",35,0,-90.99073051278656,"{0: 24, 1: 2, 2: 7, 3: 2, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.645289068144254}",20,0,-21.751282792962016,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.6374461001922929}",25,0,-160.2972828605883,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.6289237946737252}",20,0,-128.00837959696528,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
