trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-96.48954490035244,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-278.1984363751096,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-86.02794129897543,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-91.72121195473633,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,7,-62.454512252392014,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-140.90312865410274,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-112.15721380253753,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-123.34664337186611,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-184.89839320396138,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-106.61251543573763,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-57.338337293826505,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-99.55652747550378,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-135.71641047684284,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-31.478402636094224,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-94.72887571520054,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-32.56619473744234,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-109.55046037147721,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-117.27767989649453,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-110.38089951568438,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-162.6503908959892,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-72.49251779310187,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-66.73425291742157,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-220.74225628851684,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",25,0,-101.45945865810317,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,1,-112.69638626204943,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,0,-202.6661764601084,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,7,-23.518062299910216,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-54.20582737903551,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,3,-113.29097786135254,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,0,-100.61513222250314,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
